place,lat,lon,index
New York City,40.71455,-74.0071,0
San Francisco,37.77712,-122.42,1
Los Angeles,34.0522,-118.2437,2
Seattle,47.6062,-122.3321,3
Boston,42.3601,-71.0589,4
Salt Lake City,40.7608,-111.891,5
Pittsburgh,40.4406,-79.9959,6
